text,label
So it was easier to not get that deeply involved with someone at too young an age.,1
"keep your lips relaxed, at first you dont even have to use tongue.",0
I broke up with my boyfriend so I am single !!,0
"If you're a good guy, and she's still this way, then I don't know the answer.",0
ya its cool that you put your friends happiness first ^_^,0
try calling p-line i found one of my boyfriends there and well now we are just friends,1
Milk In La Frigerator or My Ignorant Little Friend,1
love is a pain full game  love is life,1
Dont make the mistakes I made.,1
"If she likes art, take her to a museum or gallery....",0
he would be in pain but that would be ok. i would get to see how he takes stress.,1
then if he still says no then snoop if your not convinced.,1
Dont ever do anything to lose someones trust .,0
GO A LITTLE FURTHER SOUTY AND YOU WILL HAVE IT ALL,0
I have a friend who met his wife on a dating site...,1
I call it the I love you if.,1
cut your lose i hate to say it but... he likes another girl,1
Tell him you love him but if they think you don't you can't change it!,1
"(**  )<| Dead Fish Ollec, the Fish Slayer",0
yes i know a boy would date ur avatar,0
Who put that crap in your head.,1
Hot guys are out there but without intelligence and a strong mind they mean nothing!,1
"Oh yeah, I'm sure shes real mature for her age",1
Depends on how hard you work to get your crush to accept you,1
more of the same stuff you probably already talked about during the date.,0
smiling giggling i would know im a big flirt!,0
be lying naked on her bed holding a rose in your teeth,1
"The internet does have nice people on it, just set your limits up front.and patiently wait...........",1
if you are looking for just positions then get a positions book,0
"ask her in your own time, though.",1
i was mad and i yelled at him.,1
why not go ahead but he might not think of it so you should go ahead and locate him,0
Well the best thing ta do is start with something kinda neutral.,1
If u like a girl and ur allowed to date go for it.,1
"(she should return your stuff tho, unless you told her it was a gift.",1
"just be yourself, don't be anything your not, she won't like that.",1
I LOVE CHICKS WHO DIG VIDIO GAMES,1
"If you just want a girlfriend or sex, move on.",0
"Well, without a huge club, you can't make anyone do (or feel) anything, but...",0
Pick one up and give it a try!,1
do you miss him when hes gone.,0
DON'T FOOL YOURSELF INTO BELIEVING THIS GUY WILL PLEASE YOU IN WAY YOUR HUSBAND CAN'T OR WON'T.,0
"3rd cousin or further then its fine otherwise, EEWW!",0
"FIRST A LITTLE ADVICE: LOVE UrSELF, U CAN'T LOVE SOMEONE ELSE IF U DON'T LOVE UrSELF.",1
"He used your diamond, what a loser!",0
by not getting answers from the internet @ 2:00 in the morning(ha ha) and just being yourself.,0
"All men are not jerks, just the one you wanted.",0
i think that they like poetry,0
escpecially if they like that girl.,1
"And some people, men and women, once a cheater, always a cheater!",1
he always writes back when i do email though.,1
How about you give him 365 days of SEX!,0
cause girls are girls and we are picky,0
flirt first see if she responds well to that and then ask her,0
"personally, i think young guys (over 25) are hot!",0
there is nothing wrong being a virgin at 19!!,1
"we're everywhere, but i'm in los angeles",0
she was 23 and you were 52 when you got married.,1
if you are not willing to wait then you should break up with him.,0
She looks at me with this evil grin and walks off!,0
dont make her do anything that she wouldnt want her to.,0
i mean thats virtually up to you to decifer and your parents.,1
In God's name - NO SHARING!,1
I don't agree with that at all and this just sounds ridiculous.,0
What if you did that and you lost your friend?,1
Tell her thats shes pretty without being a perv about it.,1
is he too old 4 u?,0
is there a problem with me.,1
beacuase they can relate to them better since girls mature faster!,0
sorry it is true he don't like you,0
he's the word of your mouth,1
my best friend is a straight guy and i am gay.,0
this guy liked me since Freshman year.,1
actually all man wants to have a girlfriend but somehow they don't know how to start the relationship.,0
and feel wanted and turned on.,0
"On a bed, in a bedroom.",0
"and if my bf wasn't 700 miles away right now, it wouldn't.",1
For women sex not usually that big deal.,1
"yes, without commitment there would be no love?",1
i dnt kno i do those all tha time dont mean nuhin 2 me.,0
"It's gotta be-  Baby you're so fine, I'd drink a TUB of your bathwater",0
Lip to lip isn't french kissin....usin tongue is french kissin,0
at least youll know immediately if he cares about you also.,1
I hate you and I think that maybe you should just end your .............. life!,1
DO NOT LET SOME ONE USE YOU!,1
if yall are sexually active it may not be u that he wants...it may just be the sex.,1
there is no real good answer for this ??,1
you also have to let your wants be known,0
don't be a creepy stalker either.,0
Because we are good at it!!!,1
Well that is the same line I use to get a girlz pants off...,0
Is he working late a lot?,0
i'm so sorry to hear that.,0
"Not that it really matters, but hey, isn't this all for the sake of curiosity?",0
are you a compleat prude or any thing?,1
you are just perfect for each other and you know that when you are with him.,1
sometimes sex is just that sex!,1
how much money does it have to be?,1
if the men is a good person he will take u and kids together.,0
WHY DO YOU WANT TO SEE HER TOES??,0
Then I don't go back there again.,1
or is it a sign of desperation on my part?,0
"haha that is a good question, girls like a flirt but not a hoe!",1
WHAT WE'RE REALLY LOVING IS THE WAY WE FEEL.,1
ther is just one /what do u like about me?,1
it means that he probably likes you,0
"You left this question kinda late, didn't you?",1
people fall in love because some people are beyond just liking.,1
But rember don't take any big jumps.,1
well he does thats the way they act,1
i still like her even though she's f**king one of my friends,1
BECAUSE HE'S ABOUT TO GO TO IRAQ AND I NEED TO TELL HIM BUT HOW...,1
"Ah lassie, yours is a classic problem that has plagued man kind for ages.",1
im a women and i don't get it either,0
It sounds like she needs to set some boundaries with her husband...and FAST!,0
maybe you should just let him smoke weed.,1
well if u like him tell him on valentines day and hope u get a positive awsner,1
N E wayz your frenz probably r jealous now cuz your still a Virgin.,1
Also...you should really be asking you friends this!,1
then ask her to the next school dance or maybe to see a movie?,1
"If you do, I'd like to ask you WHY???",0
Just be honstely with her tell to hold on u think she nice and u want ask her out.,1
The type of person you're trying to attract (a decent girl) is most likely to be hanging out where?,0
"I THINK THAT AT THAT AGE, YOU ARE JUST BEGINING TO LIVE.",0
If you do it with him now you'll regret it later I promise!,0
TO ME LOVE IS A 4 LETTER WORD WITH NO MEANING,0
"ir its the right guy, you will know.",0
think about that person all the time.. feeling flushed.. cant think straight...,1
he talks to me alot but i dont know what to think,0
just tell him to back off.,0
this wnt help u at all,1
you cant make someone love you.,1
best said in the movie old school Love its a mother fucker,0
you will know when you find it.,0
I was with this girl and we were going to get married.,0
"Tessa, you took the thought right out of my head!",1
do you know how it is for a kid to know their mom is getting abused?,0
Check out the book and read it with him.,1
its better but it can be more painful.,1
But  I dont think you are a lesbian.,0
And think how you would hurt the woman you married and your child!,0
It is not just a guy thing.,0
If not you will loose both.,1
your too young to be that hung up on a boy.,0
if you are here then add me .... saleem_nawaz,0
spice it up is my opinion.,0
I have a friend whos dad just died.,1
You don't want to wake up some day and wonder what the hell you were thinking.,1
AND WHY DO WOMEN CHEAT WHEN THEY HAVE SOMETHING REAL GOOD????????????,0
Just do what'll make you happy!,1
that way you wont be alone in this.,0
"Yep,but they never work out for me.But I approve",1
those are the signs of a guy who wants a relationship.,1
find what u like shemales bi-sexual whatever u feel good with.,1
and not by sex or any kind of sexuality.,1
And older men just totally rock.,1
if u don't like him say no.,0
"Of course I would, why not?",0
I don't know anyone who did it wright the first time,0
A strong male hormone that prompts them to do things they'd never do if they didnt have it!!!,0
If a guy can take a girl out then a girl can take a guy out.,1
none as long as they are legal age,1
it will really hurt his ego a hell a lot!,1
"If your not already friens with them, get that first.",0
i just think that men and women are equals.,0
"They're out there, those good girls, you just have to look hard.",1
I am happy being me and you should be happy too.,0
"A FREND IS A FREND AND A LOVER SOMETHING DIFFERENT, CERTAIN THINGS YOU CAN DISCUSS WITH YOUR FRENDS, I.E.",0
But I still love and miss her.. What the hells wrong with me?!?!,1
if then u decide it is not working out kids in a divorced family will be ok,1
no talk to your wife maybe she's the one having the affair?,0
not if thats what you enjoy and you like the moment... and regret doesnt come.,0
they aren't as complex and tthe just need to get over thir ego.,1
"in case of guys, guys like big(er) breasts.",1
Think about what things really make you happy.,1
how am i supposed 2 know?,0
If he says he's really  busy  .....He's just not that into you...... Have dignety and move on!,1
"Try telling him it's personal, or that you don't like anyone, or you don't know...",1
Dont wait for them to come up and talk to you!,0
maybe she is not ready for something as big as marriage.,0
SOME     s DO have morals and hope for REAL love!,0
you use that opening on your head that makes words come out.,1
u shouldn't even ask this question in public!,1
don't let go for you could never find it again.,1
if you was a female you could come over here,0
Does it matter if it was whith a girl or a guy???,0
does the age of a man matter to any age female?,0
no it means your curious it ok,1
IF NOT LET ME HELP YOU.NO NO NO AND N TO THE O-HELL NO!R WE CLEAR HERE MY DEAR?,0
I don't like you try your luck to other girl...,1
he loves her but dont find her attractive,0
GO UP TO HIM AND ASK HIM ''DO YOU STILL LIKE ME OR WHAT?'',0
anywhere thats fits the mood...want it..do it!,0
well girls have a tendency to think they are acting different when they actually are not acting any different.,0
Because thats what it is ?!?!?!?!?!?!?!?!?,1
Especially when you're the one getting fucked.,1
i think that you should wait a while after your breakup then tell him your feeling!,1
Could you be just friends and hang out with lots of people?,1
Washing will help a lot & you two can work out some other things that assist.,1
"I mean, it's like driving a car, right?",0
"When you scream at a troll, he wins.",0
GOD SAVES THE BEST FOR LAST,0
I would think nice guys like to hang out at nice places....how about your house?,1
I am sorry but size does count...my ideal penis size should be no smaller than 6,1
hi I'm not a guy but me and my bf often talk about the mae psyche.,1
"at first it is kind of uncomfortable, but then you get used to it.",1
I AM IN THE SAME SITUATION AND IT'S DRIVING ME CRAZY.,0
some1 help me with thing that means u 2 guys and girls can help 2!!,0
"yes, hopefully hes hung and will love pleasing your wife.. whats your wife look like?",1
"Well, What are u waiting for?",0
ima have to quate pac on this sex is best when its a fair exchange,0
"I prefer blonde , and i don't know why !",1
